onset	duration	trial_type	block_n
70.02	16.09	task	1
86.13	10.0	rest	1
96.13	17.2	task	2
113.34	10.0	rest	2
123.35	16.17	task	3
139.51	10.0	rest	3
149.52	16.28	task	4
165.8	10.0	rest	4
175.8	16.7	task	5
192.51	10.0	rest	5
202.52	16.06	task	6
218.58	10.0	rest	6
228.58	17.05	task	7
245.63	10.0	rest	7
255.64	16.05	task	8
271.69	10.0	rest	8
281.7	13.99	task	9
295.69	10.0	rest	9
305.69	13.97	task	10
319.66	10.0	rest	10
329.66	14.22	task	11
343.89	10.0	rest	11
353.89	14.89	task	12
368.79	10.0	rest	12
378.79	15.02	task	13
393.81	10.0	rest	13
403.82	15.95	task	14
419.77	10.0	rest	14
429.77	14.08	task	15
443.85	10.0	rest	15
453.85	17.99	task	16
471.84	10.0	rest	16
481.84	15.9	task	17
497.74	10.0	rest	17
507.74	15.92	task	18
523.66	10.0	rest	18
533.67	15.98	task	19
549.65	10.0	rest	19
559.66	17.05	task	20
576.71	10.0	rest	20
586.71	16.03	task	21
602.74	10.0	rest	21
612.75	14.99	task	22
627.74	10.0	rest	22
637.74	15.82	task	23
653.56	10.0	rest	23
663.56	17.1	task	24
680.66	10.0	rest	24
690.67	16.66	task	25
707.33	10.0	rest	25
717.33	16.07	task	26
733.4	10.0	rest	26
743.4	15.98	task	27
759.39	10.0	rest	27
769.39	15.96	task	28
785.35	10.0	rest	28
